"Sex","model","round","age","incidence","lb","ub","irr","year","py","newinf","newinf.lb","newinf.ub"
"Female","tensorproductgam",8,47,0.00597218591497429,0.00289636035329884,0.0123144223274545,0.783026850375653,2001,1,0.206111443777793,0.0999588798169143,0.424994030885268
"Female","tensorproductgam",8,43,0.00646851497190733,0.00394074658855381,0.0106177053006457,0.921757778997285,2001,1,0.396012685127988,0.241258719307253,0.650032658850994
"Male","tensorproductgam",8,16,0.00306023626042503,0.00168024440488856,0.00557362127936461,0.982546848591538,2001,1,0.186005969748754,0.102127895805929,0.338773461541991
"Male","tensorproductgam",8,17,0.0039281341589132,0.00241784273574119,0.00638182034849781,0.985048265506416,2001,1,0.408284255065037,0.251306875043092,0.663316643865905
"Male","tensorproductgam",8,45,0.00582649387284494,0.00343096082163298,0.00989461337950864,1.05755251984879,2001,1,0.16636943910189,0.0979674981099612,0.282530337112519
"Female","tensorproductgam",8,34,0.0107335280210821,0.00760906972724731,0.015140960447084,1.11212387674907,2001,1,0.749325895866075,0.531202133993421,1.05701626986018
"Male","tensorproductgam",8,38,0.0102422424670714,0.00727522713582037,0.0144192791229537,1.03895764945176,2001,1,0.421115837018453,0.299125252565552,0.592857161562743
"Male","tensorproductgam",8,39,0.00971109537261541,0.0067546152967753,0.0139616201948695,1.04159366071495,2001,1,0.369094546484623,0.256726102873185,0.530646407669669
"Male","tensorproductgam",8,36,0.0114257891624211,0.00843295602128596,0.0154807706401619,1.03370560041167,2001,1,0.599825789301671,0.442709420741864,0.812702329461293
"Female","tensorproductgam",8,25,0.0175422120502877,0.0139129022308001,0.022118261058143,1.01771367060293,2001,1,2.25599456700958,1.78925164933837,2.84449171152575
"Male","tensorproductgam",8,29,0.0177046466253469,0.0141064298257035,0.0222206834756488,1.01552731196757,2001,1,1.87551738601268,1.49434523899492,2.35391753755759
"Male","tensorproductgam",8,30,0.0167898142444568,0.0133000344064177,0.0211952731661609,1.01810532247765,2001,1,1.23409043765595,0.977583494521044,1.55790192535935
"Male","tensorproductgam",8,27,0.0187275204512493,0.0149528652889164,0.0234550379124948,1.01038940496434,2001,1,2.05809018499398,1.6432685452816,2.57762811911103
"Female","tensorproductgam",8,48,0.00589785144076277,0.00257426590555394,0.0135124547709932,0.748974502125998,2001,1,0.205570805982238,0.0897265592957828,0.47097934662667
"Female","tensorproductgam",8,44,0.00628427257322815,0.00370520627238506,0.0106585379791032,0.887536940501456,2001,1,0.326943794856847,0.192766017912983,0.55451809480055
"Female","tensorproductgam",8,45,0.00615203610063334,0.00346153927452879,0.0109337335739598,0.852700102628507,2001,1,0.348881810200002,0.196303803882373,0.620051751831386
"Male","tensorproductgam",8,18,0.00503565692196401,0.00337013331847447,0.00752428412749042,0.987555858964519,2001,1,0.56146616372768,0.375763451501516,0.838943361179463
"Male","tensorproductgam",8,46,0.00516209845310778,0.00289454018935344,0.00920604265146857,1.06023632451381,2001,1,0.177468775566528,0.0995119538883263,0.316496310950009
"Female","tensorproductgam",8,35,0.0102419393669727,0.00720350361671107,0.0145619864413475,1.10762475661258,2001,1,0.518176745488727,0.364451294474606,0.73674354745363
"Female","tensorproductgam",8,18,0.0134900861665321,0.00961180158892855,0.0189332273556374,1.20163297792716,2001,1,1.93997900748218,1.38225160880487,2.722744922486
"Male","tensorproductgam",8,40,0.00917161476490045,0.00624128448596213,0.0134777572765573,1.04423640181021,2001,1,0.330237024652736,0.224726318264392,0.485285805835995
"Male","tensorproductgam",8,19,0.00642693911298442,0.0045546131426518,0.00906894725595948,0.990069547625997,2001,1,0.744720187664729,0.52776481847839,1.05086231309315
"Female","tensorproductgam",8,26,0.0167617517270273,0.0132306624112852,0.0212352422142415,1.02216709467149,2001,1,2.65591963309932,2.09641430259232,3.36474955773766
"Male","tensorproductgam",8,48,0.00403990713188374,0.00195047860128513,0.00836761276103808,1.06562454448907,2001,1,0.110849129285999,0.0535182734615522,0.229595027430986
"Male","tensorproductgam",8,31,0.0157851982532412,0.0124158580181631,0.0200688896030879,1.02068949048465,2001,1,1.64133435970647,1.29099261494951,2.08674972200242
"Male","tensorproductgam",8,41,0.00859042126538992,0.00570715954099685,0.0129303091996573,1.04688592726453,2001,1,0.374256028945311,0.248641923414901,0.563330484570723
"Male","tensorproductgam",8,25,0.0177025721666352,0.0140371488862879,0.0223251219926186,1.0052750604941,2001,1,1.75153330533831,1.38886787495576,2.20889904290359
"Male","tensorproductgam",8,21,0.010096412549181,0.00761897129295926,0.0133794369926897,0.995114880472348,2001,1,1.25661730291132,0.94827059715323,1.66522831216812
"Male","tensorproductgam",8,22,0.0122437138233677,0.0093905003918801,0.0159638487761685,0.997646357232838,2001,1,1.48555780725967,1.13937089452451,1.93693029137028
"Male","tensorproductgam",8,32,0.0147765981913626,0.0115246478606755,0.01894616275904,1.02327990661096,2001,1,1.26763237819428,0.988658998931105,1.62532465489495
"Male","tensorproductgam",8,47,0.00456450090228844,0.00240000273759377,0.00868110196735887,1.06292699835956,2001,1,0.100342878778949,0.0527600254491744,0.190839432618287
"Female","tensorproductgam",8,17,0.0120370825235077,0.00793335270786672,0.0182635716591877,1.25527844964206,2001,1,1.19473365154386,0.787420326407541,1.81274022305661
"Female","tensorproductgam",8,19,0.0149114399053236,0.0112187094607352,0.0198196629325586,1.15374757964195,2001,1,2.0427571778785,1.53688036990099,2.71514749586069
